rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,openAccessPdf,githubUrl,workType,language,relevanceReason,abstract
11,2006,High Gamma Power Is Phase-Locked to Theta Oscillations in Human Neocortex,"R. Canolty, E. Edwards, S. Dalal, M. Soltani, S. Nagarajan, H. Kirsch, et al.",Science,2006-09-15,2640,208,166.02,"EEG, MEG, and Electrophysiology",human,"Positions High Gamma Power Is Phase-Locked to Theta Oscillations in Human Neocortex within EEG, MEG, and Electrophysiology.","high citation signal (2,640); recognized venue; open-access PDF metadata; human evidence signal","Low signal-to-noise ratio, artifacts, and source-localization uncertainty complicate interpretation.; Many studies rely on controlled tasks and may not generalize to everyday behavior or clinical monitoring.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1126/science.1128115,cbbb7b76a405ed59234516775a19ad7edb89bb49,https://doi.org/10.1126/science.1128115,https://europepmc.org/articles/pmc2628289?pdf=render,,JournalArticle,unknown,cortex; neuroscience term,
12,2006,A specific amyloid-β protein assembly in the brain impairs memory,"Sylvain E. Lesné, M. T. Koh, L. Kotilinek, R. Kayed, C. Glabe, A. Yang, et al.",Nature,2006-03-16,2621,69,161.69,Cognitive and Systems Neuroscience,,Positions A specific amyloid-β protein assembly in the brain impairs memory within Cognitive and Systems Neuroscience.,"high citation signal (2,621); recognized venue","Task designs can simplify cognition enough that ecological validity becomes uncertain.; Cross-species alignment between circuits, behavior, and subjective experience remains imperfect.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1038/nature04533,59ac83c0996f36ac23f94ddad3d96782c9f157a8,https://doi.org/10.1038/nature04533,,,paper,unknown,brain; brain in title,
13,2006,Small-World Brain Networks,"D. Bassett, E. Bullmore",The Neuroscientist,2006-12-01,2621,98,150.89,"Brain Development, Plasticity, and Connectomics",connectome,"Positions Small-World Brain Networks within Brain Development, Plasticity, and Connectomics.","high citation signal (2,621)","Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1177/1073858406293182,b0e9ea2ce2ea9713c128f47db3f1aaf0c5c2f175,https://doi.org/10.1177/1073858406293182,,,Review; JournalArticle,unknown,brain; brain in title,
14,2006,"A Resilient, Low-Frequency, Small-World Human Brain Functional Network with Highly Connected Association Cortical Hubs","S. Achard, R. Salvador, Brandon Whitcher, J. Suckling, E. Bullmore",Journal of Neuroscience,2006-01-04,2429,247,183.32,Neuroimaging and Brain Mapping,MRI;fMRI;human;non-human;connectome,Small-world properties have been demonstrated for many complex networks.,"high citation signal (2,429); recognized venue; open-access PDF metadata; human evidence signal","Scanner, protocol, site, and preprocessing variation can limit reproducibility across cohorts.; Associational imaging biomarkers often need stronger longitudinal or intervention evidence before causal claims are made.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1523/JNEUROSCI.3874-05.2006,409d0886811a7c645ece8dc8e95ce1bc0edff3b0,https://doi.org/10.1523/JNEUROSCI.3874-05.2006,https://www.jneurosci.org/content/jneuro/26/1/63.full.pdf,,JournalArticle; Study,unknown,brain; cortex; cortical; fmri; mri; brain in title; neuroscience term,"Small-world properties have been demonstrated for many complex networks. Here, we applied the discrete wavelet transform to functional magnetic resonance imaging (fMRI) time series, acquired from healthy volunteers in the resting state, to estimate frequency-dependent correlation matrices characterizing functional connectivity between 90 cortical and subcortical regions. After thresholding the wavelet correlation matrices to create undirected graphs of brain functional networks, we found a small-world topology of sparse connections most salient in the low-frequency interval 0.03-0.06 Hz. Global mean path length (2.49) was approximately equivalent to a comparable random network, whereas clustering (0.53) was two times greater; similar parameters have been reported for the network of anatomical connections in the macaque cortex. The human functional network was dominated by a neocortical core of highly connected hubs and had an exponentially truncated power law degree distribution. Hubs included recently evolved regions of the heteromodal association cortex, with long-distance connections to other regions, and more cliquishly connected regions of the unimodal association and primary cortices; paralimbic and limbic regions were topologically more peripheral. The network was more resilient to targeted attack on its hubs than a comparable scale-free network, but about equally resilient to random error. We conclude that correlated, low-frequency oscillations in human fMRI data have a small-world architecture that probably reflects underlying anatomical connectivity of the cortex. Because the major hubs of this network are critical for cognition, its slow dynamics could provide a physiological substrate for segregated and distributed information processing."
15,2006,Beyond mind-reading: multi-voxel pattern analysis of fMRI data.,"K. Norman, Sean M. Polyn, Greg Detre, J. Haxby",Trends in Cognitive Sciences,2006-09-01,2410,125,157.38,Neuroimaging and Brain Mapping,fMRI,Positions Beyond mind-reading: multi-voxel pattern analysis of fMRI data. within Neuroimaging and Brain Mapping.,"high citation signal (2,410); recognized venue","Scanner, protocol, site, and preprocessing variation can limit reproducibility across cohorts.; Associational imaging biomarkers often need stronger longitudinal or intervention evidence before causal claims are made.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",10.1016/J.TICS.2006.07.005,9e7c6355f3a50cf5aa3c2a1e4d5db56d289b14a4,https://doi.org/10.1016/J.TICS.2006.07.005,,,JournalArticle; Review,unknown,fmri; mri,
16,2006,Repetition and the brain: neural models of stimulus-specific effects.,"K. Grill-Spector, R. Henson, Alex Martin",Trends in Cognitive Sciences,2006,2349,124,161.72,Neuroimaging and Brain Mapping,,Positions Repetition and the brain: neural models of stimulus-specific effects. within Neuroimaging and Brain Mapping.,"high citation signal (2,349); recognized venue","Scanner, protocol, site, and preprocessing variation can limit reproducibility across cohorts.; Associational imaging biomarkers often need stronger longitudinal or intervention evidence before causal claims are made.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1016/J.TICS.2005.11.006,1391025f6941abcfcb2e9011af085d5f9e5e9174,https://doi.org/10.1016/J.TICS.2005.11.006,,,Review; JournalArticle,unknown,brain; neural; brain in title,
17,2006,Development of the adolescent brain: implications for executive function and social cognition.,"S. Blakemore, S. Choudhury",Journal of Child Psychology and Psychiatry and Allied Disciplines,2006-03-01,2247,70,151.12,"Brain Development, Plasticity, and Connectomics",human,"Positions Development of the adolescent brain: implications for executive function and social cognition. within Brain Development, Plasticity, and Connectomics.","high citation signal (2,247); open-access PDF metadata; human evidence signal","Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1111/J.1469-7610.2006.01611.X,d309cd47f0cd839a56e16d955841e99abedbc9e2,https://doi.org/10.1111/J.1469-7610.2006.01611.X,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1469-7610.2006.01611.x,,Review; JournalArticle,unknown,brain; brain in title,
18,2006,Cortical substrates for exploratory decisions in humans,"N. Daw, J. O'Doherty, P. Dayan, B. Seymour, R. Dolan",Nature,2006-06-15,2216,183,158.07,Cognitive and Systems Neuroscience,human;non-human,Positions Cortical substrates for exploratory decisions in humans within Cognitive and Systems Neuroscience.,"high citation signal (2,216); recognized venue; open-access PDF metadata; human evidence signal","Task designs can simplify cognition enough that ecological validity becomes uncertain.; Cross-species alignment between circuits, behavior, and subjective experience remains imperfect.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1038/nature04766,7033a4e5775684734eb22be87c5d72caa06983a3,https://doi.org/10.1038/nature04766,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2635947,,JournalArticle,unknown,cortical,
19,2006,Information-based functional brain mapping.,"N. Kriegeskorte, R. Goebel, P. Bandettini",Proceedings of the National Academy of Sciences of the United States of America,2006-03-07,2187,209,161.43,Neuroimaging and Brain Mapping,,Positions Information-based functional brain mapping. within Neuroimaging and Brain Mapping.,"high citation signal (2,187); recognized venue; open-access PDF metadata","Scanner, protocol, site, and preprocessing variation can limit reproducibility across cohorts.; Associational imaging biomarkers often need stronger longitudinal or intervention evidence before causal claims are made.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1073/PNAS.0600244103,985cceaca8606443f9129616a26bbbbf952f2d7f,https://doi.org/10.1073/PNAS.0600244103,https://europepmc.org/articles/pmc1383651?pdf=render,,Study; JournalArticle,unknown,brain; brain in title,
20,2006,Aerobic exercise training increases brain volume in aging humans.,"Stanley J. Colcombe, K. Erickson, Paige E. Scalf, Jennifer S. Kim, R. Prakash, E. McAuley, et al.","The journals of gerontology. Series A, Biological sciences and medical sciences",2006-11-01,2148,99,162.31,"Brain Development, Plasticity, and Connectomics",human,"Positions Aerobic exercise training increases brain volume in aging humans. within Brain Development, Plasticity, and Connectomics.","high citation signal (2,148); recognized venue; open-access PDF metadata; human evidence signal","Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1093/GERONA/61.11.1166,2f6960ab521e3303a7595c2d12fa5e521373fb8e,https://doi.org/10.1093/GERONA/61.11.1166,https://academic.oup.com/biomedgerontology/article-pdf/61/11/1166/9733053/1166.pdf,,JournalArticle,unknown,brain; brain in title,
21,2006,Spontaneous neuronal activity distinguishes human dorsal and ventral attention systems.,"M. Fox, M. Corbetta, A. Snyder, Justin L. Vincent, M. Raichle",Proceedings of the National Academy of Sciences of the United States of America,2006-06-27,2114,136,162.02,"Cellular, Molecular, and Synaptic Neuroscience",human,"Positions Spontaneous neuronal activity distinguishes human dorsal and ventral attention systems. within Cellular, Molecular, and Synaptic Neuroscience.","high citation signal (2,114); recognized venue; open-access PDF metadata; human evidence signal","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1073/PNAS.0604187103,b38a6ee957f3ce59a88e21d93d8f3e82d6da7909,https://doi.org/10.1073/PNAS.0604187103,https://europepmc.org/articles/pmc1480402?pdf=render,,JournalArticle,unknown,neuron; neuroscience term,
22,2006,Interpreting magnetic fields of the brain: minimum norm estimates,"M. Hämäläinen, R. Ilmoniemi",Medical and Biological Engineering and Computing,2006,1918,187,145.27,"EEG, MEG, and Electrophysiology",EEG,"Positions Interpreting magnetic fields of the brain: minimum norm estimates within EEG, MEG, and Electrophysiology.","high citation signal (1,918)","Low signal-to-noise ratio, artifacts, and source-localization uncertainty complicate interpretation.; Many studies rely on controlled tasks and may not generalize to everyday behavior or clinical monitoring.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1007/BF02512476,ef162bbfe2bbb9e928a59471c4239c3c1026b352,https://doi.org/10.1007/BF02512476,,,JournalArticle,unknown,brain; brain in title,
23,2006,Linear Mixed Models: A Practical Guide Using Statistical Software,"Brady T. West, K. Welch, A. Galecki",Unknown venue,2006-11-22,1890,103,143.21,Computational Neuroscience and AI,EEG;non-human,INTRODUCTION What Are Linear Mixed Models (LMMs)?,"high citation signal (1,890); open-access PDF metadata","Predictive performance does not necessarily identify causal neural mechanisms.; Models can inherit dataset bias, preprocessing artifacts, and task constraints.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1201/b17198,879f4c1a00a96a7918c4612bc582887a1850dfbe,https://doi.org/10.1201/b17198,https://repositorio.unal.edu.co/bitstream/unal/82276/4/65789695.2022.pdf,,Review,unknown,brain,INTRODUCTION What Are Linear Mixed Models (LMMs)? A Brief History of Linear Mixed Models LINEAR MIXED MODELS: AN OVERVIEW Introduction Specification of LMMs The Marginal Linear Model Estimation in LMMs Computational Issues Tools for Model Selection Model-Building Strategies Checking Model Assumptions (Diagnostics) Other Aspects of LMMs Power Analysis for Linear Mixed Models Chapter Summary TWO-LEVEL MODELS FOR CLUSTERED DATA: THE RAT PUP EXAMPLE Introduction The Rat Pup Study Overview of the Rat Pup Data Analysis Analysis Steps in the Software Procedures Results of Hypothesis Tests Comparing Results across the Software Procedures Interpreting Parameter Estimates in the Final Model Estimating the Intraclass Correlation Coefficients (ICCs) Calculating Predicted Values Diagnostics for the Final Model Software Notes and Recommendations THREE-LEVEL MODELS FOR CLUSTERED DATA THE CLASSROOM EXAMPLE Introduction The Classroom Study Overview of the Classroom Data Analysis Analysis Steps in the Software Procedures Results of Hypothesis Tests Comparing Results across the Software Procedures Interpreting Parameter Estimates in the Final Model Estimating the Intraclass Correlation Coefficients (ICCs) Calculating Predicted Values Diagnostics for the Final Model Software Notes Recommendations MODELS FOR REPEATED-MEASURES DATA: THE RAT BRAIN EXAMPLE Introduction The Rat Brain Study Overview of the Rat Brain Data Analysis Analysis Steps in the Software Procedures Results of Hypothesis Tests Comparing Results across the Software Procedures Interpreting Parameter Estimates in the Final Model The Implied Marginal Variance-Covariance Matrix for the Final Model Diagnostics for the Final Model Software Notes Other Analytic Approaches Recommendations RANDOM COEFFICIENT MODELS FOR LONGITUDINAL DATA: THE AUTISM EXAMPLE Introduction The Autism Study Overview of the Autism Data Analysis Analysis Steps in the Software Procedures Results of Hypothesis Tests Comparing Results across the Software Procedures Interpreting Parameter Estimates in the Final Model Calculating Predicted Values Diagnostics for the Final Model Software Note: Computational Problems with the D Matrix An Alternative Approach: Fitting the Marginal Model with an Unstructured Covariance Matrix MODELS FOR CLUSTERED LONGITUDINAL DATA: THE DENTAL VENEER EXAMPLE Introduction The Dental Veneer Study Overview of the Dental Veneer Data Analysis Analysis Steps in the Software Procedures Results of Hypothesis Tests Comparing Results across the Software Procedures Interpreting Parameter Estimates in the Final Model The Implied Marginal Variance-Covariance Matrix for the Final Model Diagnostics for the Final Model Software Notes and Recommendations Other Analytic Approaches MODELS FOR DATA WITH CROSSED RANDOM FACTORS: THE SAT SCORE EXAMPLE Introduction The SAT Score Study Overview of the SAT Score Data Analysis Analysis Steps in the Software Procedures Results of Hypothesis Tests Comparing Results across the Software Procedures Interpreting Parameter Estimates in the Final Model The Implied Marginal Variance-Covariance Matrix for the Final Model Recommended Diagnostics for the Final Model Software Notes and Additional Recommendations APPENDIX A: STATISTICAL SOFTWARE RESOURCES APPENDIX B: CALCULATION OF THE MARGINAL VARIANCE-COVARIANCE MATRIX APPENDIX C: ACRONYMS/ABBREVIATIONS BIBLIOGRAPHY INDEX
24,2006,A brain-specific microRNA regulates dendritic spine development,"G. Schratt, Fabian Tuebing, E. Nigh, Christina G. Kane, M. Sabatini, M. Kiebler, et al.",Nature,2006-01-19,1881,99,155.72,"Brain Development, Plasticity, and Connectomics",,"Positions A brain-specific microRNA regulates dendritic spine development within Brain Development, Plasticity, and Connectomics.","high citation signal (1,881); recognized venue","Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1038/nature04367,f2c75b73bf429951a2ed76ab87a8e6f622dcd1ce,https://doi.org/10.1038/nature04367,,,JournalArticle,unknown,brain; brain in title,
25,2006,"Brain-machine interfaces: past, present and future.","M. Lebedev, M. Nicolelis",Trends in Neurosciences,2006-09-01,1865,73,155.57,General Brain Science and Reviews,,"Positions Brain-machine interfaces: past, present and future. within General Brain Science and Reviews.","high citation signal (1,865); recognized venue","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1016/J.TINS.2006.07.004,eb06f203a0b21f8d7e23efed26bdeb9fc7def49a,https://doi.org/10.1016/J.TINS.2006.07.004,,,Review; JournalArticle,unknown,brain; brain in title,
26,2006,Time Is Brain-Quantified,J. Saver,Stroke,2006-01-01,1852,94,146.44,Clinical Neurology and Neurodegeneration,,Positions Time Is Brain-Quantified within Clinical Neurology and Neurodegeneration.,"high citation signal (1,852); open-access PDF metadata","Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1161/01.STR.0000196957.55928.ab,6556f7e325f1862269b855d7dcae6e43232862ed,https://doi.org/10.1161/01.STR.0000196957.55928.ab,https://www.ahajournals.org/doi/pdf/10.1161/01.STR.0000196957.55928.ab,,JournalArticle; Review,unknown,brain; brain in title,
27,2006,Cognitive neuroscience of emotional memory,"K. LaBar, R. Cabeza",Nature Reviews Neuroscience,2006,1820,79,155.13,Cognitive and Systems Neuroscience,,Positions Cognitive neuroscience of emotional memory within Cognitive and Systems Neuroscience.,"high citation signal (1,820); recognized venue","Task designs can simplify cognition enough that ecological validity becomes uncertain.; Cross-species alignment between circuits, behavior, and subjective experience remains imperfect.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1038/nrn1825,d9a7401cd95fbb09052a560505a5baa8e3a57287,https://doi.org/10.1038/nrn1825,,,Review; JournalArticle,unknown,neuroscience; neuroscience term,
28,2006,"Neural correlations, population coding and computation","B. Averbeck, P. Latham, A. Pouget",Nature Reviews Neuroscience,2006-05-01,1762,123,148.55,General Brain Science and Reviews,,"Positions Neural correlations, population coding and computation within General Brain Science and Reviews.","high citation signal (1,762); recognized venue","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1038/nrn1888,dd49054f51bde521ec63484b7af48d725633d5ae,https://doi.org/10.1038/nrn1888,,,Review; JournalArticle,unknown,neural,
29,2006,The fusiform face area: a cortical region specialized for the perception of faces,"N. Kanwisher, G. Yovel",Philosophical Transactions of the Royal Society B: Biological Sciences,2006-12-29,1736,79,151.28,Cognitive and Systems Neuroscience,,Positions The fusiform face area: a cortical region specialized for the perception of faces within Cognitive and Systems Neuroscience.,"high citation signal (1,736); recognized venue; open-access PDF metadata","Task designs can simplify cognition enough that ecological validity becomes uncertain.; Cross-species alignment between circuits, behavior, and subjective experience remains imperfect.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1098/rstb.2006.1934,b2f377f654bd1241774f8beb14f08716f1090c82,https://doi.org/10.1098/rstb.2006.1934,https://europepmc.org/articles/pmc1857737?pdf=render,,Review; JournalArticle,unknown,cortical,
