rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,openAccessPdf,githubUrl,workType,language,relevanceReason,abstract
11,1952,The effect of brain damage on the personality.,K. Goldstein,Psychiatry,1952-08-01,191,5,102.63,General Brain Science and Reviews,,Positions The effect of brain damage on the personality. within General Brain Science and Reviews.,high citation signal (191),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1080/00332747.1952.11022878,8fee94a51b049ebf8b2f4ab96a47e37fc7153e55,https://doi.org/10.1080/00332747.1952.11022878,,,JournalArticle,unknown,brain; brain in title,
12,1952,A MITOCHONDRIAL PREPARATION FROM MAMMALIAN BRAIN,"T. Brody, J. A. Bain",Unknown venue,1952-04-01,188,6,106.55,General Brain Science and Reviews,non-human,Positions A MITOCHONDRIAL PREPARATION FROM MAMMALIAN BRAIN within General Brain Science and Reviews.,high citation signal (188); open-access PDF metadata,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1016/s0021-9258(18)55777-x,56034397128544d15e5e6cb201f014750facc367,https://doi.org/10.1016/s0021-9258(18)55777-x,https://doi.org/10.1016/s0021-9258(18)55777-x,,paper,unknown,brain; brain in title,
13,1952,Suppression-burst activity from isolated cerebral cortex in man.,"C. E. Henry, W. B. Scoville",Electroencephalography and Clinical Neurophysiology,1952-02-01,175,3,105.47,"EEG, MEG, and Electrophysiology",EEG;human,"Positions Suppression-burst activity from isolated cerebral cortex in man. within EEG, MEG, and Electrophysiology.",high citation signal (175); human evidence signal,"Low signal-to-noise ratio, artifacts, and source-localization uncertainty complicate interpretation.; Many studies rely on controlled tasks and may not generalize to everyday behavior or clinical monitoring.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1016/0013-4694(52)90027-8,e1f07e6244a9dcf23208dba4e60550c63df328ee,https://doi.org/10.1016/0013-4694(52)90027-8,,,JournalArticle; Review,unknown,cerebral; cortex; neuroscience term,
14,1952,A physiological study of epileptic seizures following cortical stimulation in animals and its application to human clinics.,Takashi Hayashi,The Japanese Journal of Physiology,1952-11-01,168,2,100.94,General Brain Science and Reviews,human;non-human;stimulation,Positions A physiological study of epileptic seizures following cortical stimulation in animals and its application to human clinics. within General Brain Science and Reviews.,high citation signal (168); open-access PDF metadata; human evidence signal,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.2170/JJPHYSIOL.3.46,d7d175d151918b6be5ef3a86e50b2abb5e469a15,https://doi.org/10.2170/JJPHYSIOL.3.46,https://www.jstage.jst.go.jp/article/jjphysiol1950/3/0/3_0_46/_pdf,,JournalArticle,unknown,cortical,
15,1952,Inhibition of formation of a glial barrier as a means of permitting a peripheral nerve to grow into the brain,"W. F. Windle, Clemente Cd, W. Chambers",The Journal of comparative neurology,1952-04-01,151,0,113.63,"Cellular, Molecular, and Synaptic Neuroscience",non-human,"Positions Inhibition of formation of a glial barrier as a means of permitting a peripheral nerve to grow into the brain within Cellular, Molecular, and Synaptic Neuroscience.",high citation signal (151); recognized venue,"Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1002/cne.900960207,cc86d0706f7e26540f16d26606e8a30c2b2f3650,https://doi.org/10.1002/cne.900960207,,,JournalArticle,unknown,brain; glia; brain in title,
16,1952,Effects of chronic lesions in central cephalic brain stem of monkeys.,"J. French, H. Magoun",A M A Archives of Neurology & Psychiatry,1952-11-01,149,0,111.39,Clinical Neurology and Neurodegeneration,non-human,Positions Effects of chronic lesions in central cephalic brain stem of monkeys. within Clinical Neurology and Neurodegeneration.,high citation signal (149); recognized venue,"Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1001/ARCHNEURPSYC.1952.02320230017002,660f0a5db16279dd85655b70eac8b497771a7360,https://doi.org/10.1001/ARCHNEURPSYC.1952.02320230017002,,,JournalArticle,unknown,brain; brain in title,
17,1952,An activating system in brain stem of monkey.,"J. French, F. K. VON AMERONGEN, H. Magoun",A M A Archives of Neurology & Psychiatry,1952-11-01,137,0,109.89,Clinical Neurology and Neurodegeneration,non-human,Positions An activating system in brain stem of monkey. within Clinical Neurology and Neurodegeneration.,high citation signal (137); recognized venue,"Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1001/ARCHNEURPSYC.1952.02320230003001,232317875c999e83359b88eb8f28cc2abd138797,https://doi.org/10.1001/ARCHNEURPSYC.1952.02320230003001,,,JournalArticle,unknown,brain; brain in title,
18,1952,Corticofugal projections to the brain stem.,"H. Jasper, C. Ajmone-Marsan, J. Stoll",A M A Archives of Neurology & Psychiatry,1952-02-01,120,0,106.32,Clinical Neurology and Neurodegeneration,,Positions Corticofugal projections to the brain stem. within Clinical Neurology and Neurodegeneration.,high citation signal (120); recognized venue,"Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1001/ARCHNEURPSYC.1952.02320140023003,0dad4643ec4abf4af336a6dfa8505bb5d394939f,https://doi.org/10.1001/ARCHNEURPSYC.1952.02320140023003,,,JournalArticle,unknown,brain; brain in title,
19,1952,Histochemical studies on the glycogen of the mammalian brain,"Nobuo Shimizu, T. Kumamoto",The Anatomical Record,1952-11-01,113,0,93.25,General Brain Science and Reviews,,Positions Histochemical studies on the glycogen of the mammalian brain within General Brain Science and Reviews.,high citation signal (113),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1002/ar.1091140307,6f2150429707d5510f61c13ce67f4eb875e0f67c,https://doi.org/10.1002/ar.1091140307,,,JournalArticle,unknown,brain; brain in title,
20,1952,Paroxysmal high voltage discharges from isolated and partially isolated human and animal cerebral cortex.,"Echlin Fa, Arnett, J. Zoll, D. Peck",Electroencephalography and Clinical Neurophysiology,1952-05-01,111,0,98.53,"EEG, MEG, and Electrophysiology",EEG;human;non-human,"Positions Paroxysmal high voltage discharges from isolated and partially isolated human and animal cerebral cortex. within EEG, MEG, and Electrophysiology.",high citation signal (111); human evidence signal,"Low signal-to-noise ratio, artifacts, and source-localization uncertainty complicate interpretation.; Many studies rely on controlled tasks and may not generalize to everyday behavior or clinical monitoring.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1016/0013-4694(52)90004-7,7a345300b353fedb1c83204dc92e749811893a06,https://doi.org/10.1016/0013-4694(52)90004-7,,,JournalArticle,unknown,cerebral; cortex; neuroscience term,
21,1952,Brain lesions associated with prolonged unconsciousness.,J. French,A M A Archives of Neurology & Psychiatry,1952-12-01,111,2,104.93,Clinical Neurology and Neurodegeneration,,Positions Brain lesions associated with prolonged unconsciousness. within Clinical Neurology and Neurodegeneration.,high citation signal (111); recognized venue,"Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1001/ARCHNEURPSYC.1952.02320240002001,a536543960062311329d3a558fee30830b48a354,https://doi.org/10.1001/ARCHNEURPSYC.1952.02320240002001,,,JournalArticle,unknown,brain; brain in title,
22,1952,A composite sensory projection area in the cerebral cortex of the cat.,"W. A. Mickle, H. Ades",American Journal of Physiology,1952-09-01,108,0,97.44,General Brain Science and Reviews,,Positions A composite sensory projection area in the cerebral cortex of the cat. within General Brain Science and Reviews.,high citation signal (108); open-access PDF metadata,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1152/AJPLEGACY.1952.170.3.682,32dc7683713472db69a9130caea5639912e06e34,https://doi.org/10.1152/AJPLEGACY.1952.170.3.682,https://www.physiology.org/pb-assets/PDFs/2017-Legacy-1516816496183.pdf,,JournalArticle,unknown,cerebral; cortex; neuroscience term,
23,1952,Vestibular connections of the brain stem.,"B. Gernandt, C. Thulin",American Journal of Physiology,1952-09-30,107,0,95.28,General Brain Science and Reviews,,Positions Vestibular connections of the brain stem. within General Brain Science and Reviews.,high citation signal (107); open-access PDF metadata,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1152/AJPLEGACY.1952.171.1.121,4b2a2a6135a18e1913b0d9fad59d76a657564255,https://doi.org/10.1152/AJPLEGACY.1952.171.1.121,https://www.physiology.org/pb-assets/PDFs/2017-Legacy-1516816496183.pdf,,JournalArticle,unknown,brain; brain in title,
24,1952,"Cerebral Mechanisms in Behavior, The Hixon Symposium",J. Stamm,Unknown venue,1952-10-01,102,7,88.43,Cognitive and Systems Neuroscience,,"Positions Cerebral Mechanisms in Behavior, The Hixon Symposium within Cognitive and Systems Neuroscience.",high citation signal (102); open-access PDF metadata,"Task designs can simplify cognition enough that ecological validity becomes uncertain.; Cross-species alignment between circuits, behavior, and subjective experience remains imperfect.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1001/jama.1952.02930120090037,274d90fb35867b143c9827a92d4625a5fc2e4870,https://doi.org/10.1001/jama.1952.02930120090037,http://calteches.library.caltech.edu/1314/1/books.pdf,,paper,unknown,cerebral,
25,1952,Development of Electrical Activity in the Cerebral Cortex of the Albino Rat.∗,Stanley M. Grain,Unknown venue,1952-10-01,100,0,94.27,"Brain Development, Plasticity, and Connectomics",non-human,"Positions Development of Electrical Activity in the Cerebral Cortex of the Albino Rat.∗ within Brain Development, Plasticity, and Connectomics.",high citation signal (100),"Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.3181/00379727-81-19773,25ace0166af338b7949d0ece2f781dd93927a955,https://doi.org/10.3181/00379727-81-19773,,,JournalArticle,unknown,cerebral; cortex; neuroscience term,
26,1952,Activity of acetylcholine system in cerebral cortex of various unanesthetized mammals.,"D. B. Tower, K. Elliott",American Journal of Physiology,1952-02-29,95,2,92.16,General Brain Science and Reviews,,Positions Activity of acetylcholine system in cerebral cortex of various unanesthetized mammals. within General Brain Science and Reviews.,high citation signal (95),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1152/AJPLEGACY.1952.168.3.747,4e0cd91613b55667c40296ac8ff97a9b45b1b7ce,https://doi.org/10.1152/AJPLEGACY.1952.168.3.747,,,JournalArticle,unknown,cerebral; cortex; neuroscience term,
27,1952,Cortical conductivity in the brain-injured.,"G. S. Klein, D. Krech",Journal of Personality,1952-09-01,94,1,91.97,General Brain Science and Reviews,,Positions Cortical conductivity in the brain-injured. within General Brain Science and Reviews.,high citation signal (94),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1111/J.1467-6494.1952.TB01864.X,8e96ca67481d58506d3028d4d77dd078e2e058ae,https://doi.org/10.1111/J.1467-6494.1952.TB01864.X,,,JournalArticle,unknown,brain; cortical; brain in title,
28,1952,"Incidence of cavum septi pellucidi and cavum Vergae in 1,032 human brains.",J. T. Schwidde,A M A Archives of Neurology & Psychiatry,1952-05-01,90,5,102.4,Clinical Neurology and Neurodegeneration,human,"Positions Incidence of cavum septi pellucidi and cavum Vergae in 1,032 human brains. within Clinical Neurology and Neurodegeneration.",high citation signal (90); recognized venue; human evidence signal,"Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1001/ARCHNEURPSYC.1952.02320170043006,1952195f8e5e722fdd2c958826dc7fe7b9d2b7f4,https://doi.org/10.1001/ARCHNEURPSYC.1952.02320170043006,,,JournalArticle,unknown,brain; brain in title,
29,1952,"Mycotic brain abscess due to Cladosporium trichoides, a new species; report of a case.","C. H. Binford, R. Thompson, M. E. Gorham",American Journal of Clinical Pathology,1952-06-01,90,0,90.4,Clinical Neurology and Neurodegeneration,human,"Positions Mycotic brain abscess due to Cladosporium trichoides, a new species; report of a case. within Clinical Neurology and Neurodegeneration.",high citation signal (90); human evidence signal,"Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1093/AJCP/22.6.535,3924b668aeaad5d1de64d8aade4700f9145bfb46,https://doi.org/10.1093/AJCP/22.6.535,,,JournalArticle,unknown,brain; brain in title,
30,1952,A comparative pharmacological and toxicological study of organic phosphate-anticholinesterase compounds.,"John P. Frawley, E. Hagan, O. Fitzhugh",Journal of Pharmacology and Experimental Therapeutics,1952-06-01,87,0,83.79,General Brain Science and Reviews,non-human,"A rapid procedure for the measurement of brain, plasma and erythrocyte cholinesterase of rats is presented.",high citation signal (87),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1016/s0022-3565(25)05019-0,0a21f9a5e373c08e984363cea0455a5b39c51e5f,https://doi.org/10.1016/s0022-3565(25)05019-0,,,JournalArticle,unknown,brain,"A rapid procedure for the measurement of brain, plasma and erythrocyte cholinesterase of rats is presented. Using this procedure, studies have been made on the toxicology and pharmacology of DFP, Parathion, TEPP, EPN, OMPA, and E-838. Data supporting the following conclusions are presented: 1. The oral LD50's for these compounds for male and female rats are DFP, 13.5 and 7.7 mgm./kgm.; Parathion 30 and 3 mgm./kgm.; TEPP 2 and 1.2 mgm./kgm.; EPN 91 and 14.5 mgm./kgm.; OMPA 13.5 and 35.5 mgm./kgm.; and E-838 42 and 19 mgm./kgm. 2. The administration of oral LD75 doses of these compounds caused brain cholinesterase inhibition varying with each compound: DFP > Parathion > E-838 > EPN > TEPP > OMPA. 3. The inhibition of brain cholinesterase does not appear to be directly responsible for death from these organic phosphorus compounds. 4. Oral LD75's of all compounds caused an inhibition of plasma and erythrocyte cholinesterase from 10 to 35 per cent of normal. 5. The degree of brain, plasma or erythrocyte cholinesterase inhibition does not directly parallel the symptomatology. 6. Following sublethal doses of these compounds, DFP alone causes irreversible brain cholinesterase inhibition. 7. All compounds cause irreversible erythrocyte cholinesterase inhibition. 8. Subacute feeding of all compounds leads to a cumulative inhibition of erythrocyte cholinesterase. The lowest level for each compound which exhibits this cumulative effect is: 25 ppm. EPN, 5 ppm. DFP, Parathion or E-838 and 1 ppm. OMPA. 9. All compounds exhibit essentially the same symptoms of poisoning and can be antidoted by atropine. 10. The mechanism of death appears possibly to be due primarily to peripheral inhibition of cholinesterase in the muscles, leading to respiratory paralysis, anoxia and terminal convulsion. 11. Discussion is made of the practical application of plasma and erythrocyte cholinesterase determinations to individuals acutely or chronically exposed to organic phosphates."
31,1952,Therapeutic trauma of the brain.,Tow Pm,Unknown venue,1952-08-09,84,0,87.97,General Brain Science and Reviews,,Positions Therapeutic trauma of the brain. within General Brain Science and Reviews.,high citation signal (84),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",,4138ab52b6038da5e455e3bcb38a5d772664e8cc,https://www.semanticscholar.org/paper/4138ab52b6038da5e455e3bcb38a5d772664e8cc,,,paper,unknown,brain; brain in title,
32,1952,The Autonomic Nervous System,"J. C. White, R. H. Smithwick, F. A. Simeone",Neurology,1952-11-01,83,1,101.15,Clinical Neurology and Neurodegeneration,human;non-human,"This, the third edition, has been carefully and extensively revised.",high citation signal (83); recognized venue; open-access PDF metadata; human evidence signal,"Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1097/00000446-195211000-00068,5b9d3676e019203e08e997ba8be04914d967e136,https://doi.org/10.1097/00000446-195211000-00068,http://europepmc.org/articles/pmc5157379?pdf=render,,Review,unknown,brain; cerebral,"This, the third edition, has been carefully and extensively revised. I t represents a comprehensive survey of the anatomy, physiology, and surgery of the autonomic nervous system. A critical reading of the chapters dealing with the structure and function of the autonomic nervous system reveals concern for accurate editing and exposition. I t is apparent that the authors took the time and effort to consult authoritative opinion in the basic scientific fields. They do not hesitate to take a stand on controversial issues; the range of clinical observations and the results of numerous operations give a note of sureness which will be welcomed by most readers. The reviewer was impressed by the forthright handling of the problem of nomenclature, the problem of visceral pain, and the frequently debated issue of active vasodilator and secretory fibers. In the clinical discussions the authors are, of course, especially at home. This section deals systematically with various diseases wherein operative procedures on the autonomic nervous system may be applied. The presentation is quite inclusive: peripheral vascular diseases, bone disease, angina pectoris and hypertensive cardiovascular disease, painful states in other viscera. A chapter is devoted to the surgery of the autonomic nervous system in disorders of the brain and meninges; in the matter of stellate block as a mode of treatment for cerebral thrombosis and embolism, the authors conclude with this view, ""Our experience to date has left us unconvinced of the value of the procedure."" The case reports used to illustrate the general discussion will be appreciatedand the selection of patients with an unusually high recovery rate will be readily pardoned. A. R. V."
